,0,1
1328,2019-10-04 01:01:09," {""date"": ""20191004"", ""time"": ""010108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.00912799""}"
1330,2019-10-04 01:31:08," {""date"": ""20191004"", ""time"": ""013006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.195}"
1331,2019-10-04 01:31:08," {""date"": ""20191004"", ""time"": ""013010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.18""}"
1332,2019-10-04 01:31:08," {""date"": ""20191004"", ""time"": ""013108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.00924335""}"
1334,2019-10-04 02:01:07," {""date"": ""20191004"", ""time"": ""020005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1336,2019-10-04 02:01:13," {""date"": ""20191004"", ""time"": ""020107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.00958497""}"
1338,2019-10-04 02:31:06," {""date"": ""20191004"", ""time"": ""020009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.13""}"
1339,2019-10-04 02:31:06," {""date"": ""20191004"", ""time"": ""023005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.382}"
1340,2019-10-04 02:31:07," {""date"": ""20191004"", ""time"": ""023009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.25""}"
1341,2019-10-04 02:31:07," {""date"": ""20191004"", ""time"": ""023106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01119874""}"
1343,2019-10-04 03:01:06," {""date"": ""20191004"", ""time"": ""030004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.445}"
1344,2019-10-04 03:01:06," {""date"": ""20191004"", ""time"": ""030008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.33""}"
1345,2019-10-04 03:01:06," {""date"": ""20191004"", ""time"": ""030106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01119874""}"
1347,2019-10-04 03:31:05," {""date"": ""20191004"", ""time"": ""033003"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 11.945}"
1348,2019-10-04 03:31:05," {""date"": ""20191004"", ""time"": ""033007"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.43""}"
1349,2019-10-04 03:31:05," {""date"": ""20191004"", ""time"": ""033105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01127925""}"
1351,2019-10-04 04:01:09," {""date"": ""20191004"", ""time"": ""040007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.132}"
1352,2019-10-04 04:01:09," {""date"": ""20191004"", ""time"": ""040011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.78""}"
1353,2019-10-04 04:01:09," {""date"": ""20191004"", ""time"": ""040109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01343265""}"
1355,2019-10-04 04:31:09," {""date"": ""20191004"", ""time"": ""043007"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.257}"
1357,2019-10-04 04:31:14," {""date"": ""20191004"", ""time"": ""043109"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01618538""}"
1359,2019-10-04 05:01:08," {""date"": ""20191004"", ""time"": ""043011"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.37""}"
1360,2019-10-04 05:01:08," {""date"": ""20191004"", ""time"": ""050006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1361,2019-10-04 05:01:08," {""date"": ""20191004"", ""time"": ""050010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.23""}"
1362,2019-10-04 05:01:08," {""date"": ""20191004"", ""time"": ""050108"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01649041""}"
1364,2019-10-04 05:31:07," {""date"": ""20191004"", ""time"": ""053006"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.32}"
1365,2019-10-04 05:31:07," {""date"": ""20191004"", ""time"": ""053010"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.20""}"
1366,2019-10-04 05:31:07," {""date"": ""20191004"", ""time"": ""053107"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01635608""}"
1368,2019-10-04 06:01:06," {""date"": ""20191004"", ""time"": ""060005"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.132}"
1369,2019-10-04 06:01:06," {""date"": ""20191004"", ""time"": ""060009"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.28""}"
1370,2019-10-04 06:01:06," {""date"": ""20191004"", ""time"": ""060106"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01822302""}"
1372,2019-10-04 06:31:05," {""date"": ""20191004"", ""time"": ""063004"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 11.945}"
1373,2019-10-04 06:31:05," {""date"": ""20191004"", ""time"": ""063008"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.38""}"
1374,2019-10-04 06:31:06," {""date"": ""20191004"", ""time"": ""063105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01557366""}"
1376,2019-10-04 07:01:05," {""date"": ""20191004"", ""time"": ""070003"", ""pnm"": ""aquarium_1"", ""dttp"": ""water_temp"", ""snr_id"": ""28-030997945f64"", ""tmp"": 12.07}"
1377,2019-10-04 07:01:05," {""date"": ""20191004"", ""time"": ""070007"", ""pnm"": ""aquarium_1"", ""dttp"": ""DO"", ""do"": ""9.34""}"
1378,2019-10-04 07:01:05," {""date"": ""20191004"", ""time"": ""070105"", ""pnm"": ""aquarium_1"", ""dttp"": ""GAS_MQ137"", ""snr_id"": ""None"", ""arnh3"": ""0.01415391""}"
